id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int
1082566,16000,16000, 36 months,6.03%,486.97,8 years,RENT,89000,Current,debt_consolidation,TX,17.53,0,27/11/1994 12:27,NA,10,15497,33,5202.56,12169.75,10797.44,1372.31
1082914,3950,3950, 36 months,8.90%,125.43,10+ years,MORTGAGE,52800,Fully Paid,car,CO,0.57,0,27/04/1995 8:00,NA,4,675,7,0,4362.74,3950,412.74
1083417,10000,10000, 36 months,6.62%,307.04,4 years,MORTGAGE,55000,Current,small_business,MI,4.3,0,27/09/2000 6:28,NA,8,8835,15,3568.58,7354.08,6431.42,922.66
1083892,35000,35000, 60 months,12.69%,790.82,6 years,MORTGAGE,68000,Charged Off,other,DE,8.58,0,16/10/1985 10:52,NA,16,7504,36,0,11859.91,6779.62,5080.29
1084247,2000,2000, 36 months,10.65%,65.15,2 years,RENT,48000,Fully Paid,debt_consolidation,VA,17.29,0,09/02/2004 12:05,25,9,3369,18,0,2205.74,2000,205.74
1085272,28000,28000, 36 months,7.90%,876.13,3 years,MORTGAGE,180000,Late (31-120 days),home_improvement,CT,7.6,0,08/05/1995 7:05,81,13,202,23,13187.95,17772.32,14812.05,2960.27
1086441,7200,7200, 36 months,11.71%,238.15,< 1 year,RENT,37000,Current,debt_consolidation,MA,12.82,0,28/05/1995 8:27,32,8,6788,32,2479.56,5944.75,4720.43,1224.32
1086636,20000,20000, 60 months,17.27%,499.96,10+ years,MORTGAGE,1.00E+05,Fully Paid,debt_consolidation,NJ,22.04,0,14/09/1997 8:31,NA,9,18958,33,0,23227.38,20000,3227.38
1086976,11500,11500, 36 months,6.62%,353.1,3 years,RENT,60500,Current,debt_consolidation,CA,16.88,0,11/03/1999 10:20,NA,11,21309,39,3776.46,8806.75,7723.55,1083.2
1087612,3000,3000, 36 months,11.71%,99.23,10+ years,MORTGAGE,30000,Fully Paid,debt_consolidation,CA,4.8,0,23/03/1996 5:46,30,9,3345,16,0,3398.13,3000,398.13
1088041,11700,11700, 36 months,7.51%,364,2 years,RENT,45000,Current,debt_consolidation,MI,0,0,02/06/2006 7:00,NA,7,0,9,3734.75,9215.67,7965.24,1250.43
1088369,5500,5500, 36 months,7.51%,171.11,2 years,RENT,39000,Current,debt_consolidation,OK,2.22,0,15/09/1986 5:25,NA,4,2082,23,1827.82,4261,3672.18,588.82
1088731,12000,12000, 36 months,6.03%,365.23,3 years,MORTGAGE,85000,Fully Paid,debt_consolidation,CA,3.98,0,18/02/1997 11:17,NA,8,18443,17,0,12525.09,12000.01,525.08
1089158,9600,9600, 36 months,14.65%,331.15,7 years,RENT,70000,Fully Paid,credit_card,CA,2.21,0,28/01/2001 10:17,NA,7,5879,8,0,10478.21,9600,878.21
1089573,28000,28000, 60 months,18.25%,714.83,2 years,MORTGAGE,95000,Current,other,FL,17.46,0,01/06/1987 10:33,NA,7,2791,15,19730.69,17098.84,8269.31,8829.53
1089841,9000,9000, 36 months,6.03%,273.92,6 years,RENT,37124.52,Current,credit_card,CA,15.91,0,03/07/2000 1:10,NA,10,1552,26,2927.32,6844.5,6072.68,771.82
1090260,7500,7500, 36 months,18.25%,272.09,7 years,OWN,70000,Current,home_improvement,MA,10.41,0,16/11/1997 5:54,NA,9,22616,21,2741.74,6795.05,4758.26,2036.79
1090787,4500,4500, 36 months,16.29%,158.86,6 years,RENT,55000,Charged Off,debt_consolidation,CA,15.19,0,01/12/2000 1:01,28,4,5152,25,0,3016.44,2101.76,914.68
1091024,6500,6500, 36 months,6.03%,197.84,7 years,MORTGAGE,71500,Current,debt_consolidation,MI,10.43,0,18/01/1992 9:53,NA,11,22410,26,2114.58,4942.75,4385.42,557.33
1091433,5825,5825, 36 months,7.51%,181.23,8 years,RENT,81000,Fully Paid,debt_consolidation,NJ,29.52,0,13/11/1998 4:53,NA,15,6125,31,0,6391.41,5825,566.41
1091767,3300,3300, 36 months,6.62%,101.33,7 years,OWN,47500,Current,debt_consolidation,LA,12.86,0,06/02/2000 6:34,NA,6,3273,15,1090.8,2519,2209.2,309.8
1092052,1000,1000, 36 months,12.42%,33.42,4 years,RENT,50000,Current,debt_consolidation,WA,12.77,0,05/05/1983 9:19,50,17,5575,29,348.14,832.25,651.86,180.39
1092569,10000,10000, 36 months,14.65%,344.95,1 year,RENT,55000,Current,credit_card,NC,16.76,0,16/05/2003 8:23,NA,14,10988,26,4132.48,7921.2,5867.52,2053.68
1092866,12000,12000, 36 months,6.03%,365.23,6 years,RENT,85000,Fully Paid,credit_card,NJ,6.39,0,22/05/2003 10:03,NA,8,18993,21,0,12338.85,12000,338.85
1093164,16000,16000, 36 months,6.03%,486.97,10+ years,RENT,155000,Current,credit_card,NJ,6.07,0,05/06/2000 1:41,NA,8,26635,27,5202.34,12170,10797.66,1372.34
1093565,9800,9800, 36 months,14.27%,336.23,10+ years,RENT,75000,Fully Paid,debt_consolidation,FL,5.73,0,12/05/1999 4:29,NA,4,1947,13,0,9962.7,9800,162.7
1094053,12000,12000, 36 months,14.65%,413.94,< 1 year,RENT,33324,Current,debt_consolidation,CA,14.93,0,10/07/2005 5:56,NA,6,16599,9,4242.33,10340.5,7757.66,2582.84
1095777,10000,10000, 36 months,9.91%,322.25,10+ years,MORTGAGE,124000,Current,debt_consolidation,TX,24.16,0,27/03/1985 9:45,51,17,40181,33,3386.92,8042,6613.09,1428.91
1096010,10000,10000, 36 months,14.27%,343.09,5 years,RENT,90000,Current,credit_card,AZ,23.76,0,22/05/1998 8:33,57,18,11359,40,3531.22,8559.75,6468.77,2090.98
1096232,6000,6000, 36 months,11.71%,198.46,2 years,OWN,25200,Current,medical,LA,16.29,1,27/04/2002 4:14,8,18,14452,30,2070.24,4949,3929.77,1019.23
1096475,1600,1600, 36 months,7.90%,50.07,4 years,RENT,20832,Fully Paid,debt_consolidation,AZ,23.16,0,08/10/2005 11:19,NA,3,1464,5,0,1697.14,1600,97.14
1096918,19000,19000, 36 months,14.27%,651.87,10+ years,RENT,70000,Fully Paid,debt_consolidation,MI,16.53,0,05/11/1995 11:05,NA,7,20614,32,0,20659.45,19000,1659.45
1097244,5300,5300, 36 months,13.49%,179.84,1 year,RENT,45600,Current,debt_consolidation,CA,3.76,0,12/07/2004 9:51,46,5,4747,10,1883.08,4477.4,3416.92,1045.51
1097439,20800,20800, 60 months,12.69%,469.97,7 years,MORTGAGE,70000,Current,debt_consolidation,WV,14.49,1,26/01/1991 12:39,16,18,13042,51,13703.05,11725,7096.95,4628.05
1097604,20000,20000, 36 months,16.29%,706.01,6 years,MORTGAGE,92000,Current,debt_consolidation,NC,8.8,0,21/02/1998 2:51,NA,10,19212,11,7181.69,17632.75,12818.31,4814.44
1097754,8500,8500, 36 months,6.03%,258.71,10+ years,MORTGAGE,45000,Fully Paid,credit_card,MI,20.22,0,16/06/1987 7:38,NA,8,2984,31,0,9198.59,8500,698.59
1097891,2800,2800, 36 months,7.90%,87.62,10+ years,RENT,54000,Fully Paid,debt_consolidation,FL,13.6,0,02/06/2001 7:09,NA,4,3406,11,0,2963.43,2800,163.43
1098119,12000,12000, 36 months,6.62%,368.45,1 year,RENT,48000,Current,debt_consolidation,OR,16.88,0,07/12/1994 8:12,NA,9,13903,21,3932.68,9198.75,8067.32,1131.43
1098366,21000,21000, 60 months,12.69%,474.49,6 years,MORTGAGE,70000,Late (31-120 days),debt_consolidation,SC,20.85,0,21/09/2003 11:37,NA,15,8865,34,15121.56,9962.87,5878.44,4084.43
1098578,18000,18000, 60 months,18.64%,463.38,2 years,RENT,70000,Fully Paid,debt_consolidation,NY,4.56,1,23/06/2003 11:36,18,11,8640,22,0,24005.6,18000,6005.6
1098778,16000,16000, 36 months,7.90%,500.65,10+ years,MORTGAGE,72000,Current,credit_card,RI,12.83,0,23/12/1991 3:29,NA,8,29952,36,5304.66,12505.5,10695.35,1810.15
1098911,6625,6625, 36 months,11.71%,219.13,< 1 year,RENT,25000,Charged Off,debt_consolidation,NC,21.74,0,05/10/1995 8:45,29,9,7626,22,0,3725.23,2639.1,842.74
1099137,11000,11000, 36 months,18.25%,399.06,10+ years,MORTGAGE,65000,Fully Paid,debt_consolidation,FL,6.3,0,14/09/1993 2:36,NA,9,12197,11,0,13985.88,11000,2985.88
1099254,19550,19550, 60 months,19.91%,516.98,n/a,MORTGAGE,50000,Fully Paid,credit_card,TX,8.86,0,20/02/1998 9:18,NA,8,19680,23,0,21752.19,19550,2202.19
1099469,8325,8325, 36 months,14.65%,287.17,5 years,RENT,20000,Charged Off,credit_card,NY,14.94,0,13/09/1999 11:51,48,4,9022,8,0,2408.78,1345.89,662.2
1099657,16000,16000, 60 months,19.91%,423.11,10+ years,MORTGAGE,88000,Late (31-120 days),debt_consolidation,IL,23.09,0,13/03/2000 8:26,NA,15,21273,34,11634.6,9718.65,4365.4,5353.25
1099970,16000,16000, 60 months,13.99%,372.21,5 years,RENT,110000,Fully Paid,major_purchase,NJ,11.86,0,14/11/2000 1:42,NA,14,31935,29,0,16909.34,16000,909.34
1100283,7000,7000, 36 months,11.71%,231.54,10+ years,RENT,110000,Current,credit_card,NY,14.54,0,21/07/1998 10:01,61,8,28143,22,2415.31,5773.75,4584.69,1189.06
1100523,12000,12000, 36 months,6.62%,368.45,10+ years,MORTGAGE,75000,Current,debt_consolidation,TX,10.2,0,14/10/1999 1:18,NA,9,14506,42,3929.61,9202.25,8070.39,1131.86
1100805,2500,2500, 60 months,14.27%,58.53,< 1 year,RENT,34320,Fully Paid,debt_consolidation,WI,16.68,0,09/04/2001 3:01,NA,8,2069,19,0,2900.27,2500,400.27
1101012,20000,20000, 36 months,14.27%,686.18,5 years,RENT,65000,Fully Paid,house,NY,12.2,0,08/08/2006 3:48,NA,10,14604,18,0,23658.4,20000,3658.4
1101171,25000,25000, 36 months,13.49%,848.27,10+ years,RENT,80397,Fully Paid,debt_consolidation,VA,16.16,0,20/08/1998 4:13,NA,7,32284,23,0,27705.96,25000,2705.96
1101327,12000,12000, 36 months,11.71%,396.92,5 years,RENT,35000,Current,debt_consolidation,MO,16.8,0,19/06/2004 5:46,NA,5,10641,12,4132.71,9907.75,7867.28,2040.47
1101580,13000,13000, 36 months,11.71%,429.99,4 years,MORTGAGE,52200,Fully Paid,debt_consolidation,VA,23.67,0,08/08/2006 7:54,NA,16,17614,22,0,14493.54,13000,1493.54
1102054,17000,17000, 36 months,9.91%,547.83,10+ years,MORTGAGE,81000,Fully Paid,debt_consolidation,NJ,17.2,0,12/02/2000 8:39,NA,13,22555,26,0,18661.76,17000,1661.76
1102326,11900,11900, 36 months,8.90%,377.87,n/a,MORTGAGE,33228,Current,debt_consolidation,TX,25.35,0,30/04/1991 1:34,NA,3,265,35,3981.54,9441.5,7918.46,1523.04
1102636,5000,5000, 36 months,14.65%,172.48,< 1 year,RENT,150000,Charged Off,debt_consolidation,NY,1.63,1,16/05/2005 12:37,18,9,3847,18,0,1895.08,1301.95,593.13
1102894,10000,10000, 60 months,12.42%,224.58,4 years,RENT,54000,Fully Paid,major_purchase,CA,23.16,0,24/02/1998 1:58,NA,5,0,8,0,11964.59,10000,1964.59
1103120,6575,6575, 36 months,11.71%,217.48,1 year,RENT,90000,Current,credit_card,CA,7.13,0,24/09/2003 10:09,NA,6,10254,18,2270.43,5421,4304.57,1116.43
1103908,12000,12000, 36 months,6.62%,368.45,< 1 year,MORTGAGE,84000,Fully Paid,major_purchase,GA,22.66,0,19/07/1993 7:28,NA,8,5355,25,0,12639.05,12000,639.05
1104084,16000,16000, 36 months,6.03%,486.97,n/a,OWN,60000,Current,debt_consolidation,TX,20.55,0,09/07/1972 5:45,NA,14,16048,31,5199.45,12173.25,10800.55,1372.7
1104352,12000,12000, 36 months,13.49%,407.17,2 years,RENT,82000,Fully Paid,debt_consolidation,MA,19.54,0,12/06/2000 7:06,41,16,14905,33,0,13857.68,12000,1857.68
1104690,30000,30000, 60 months,20.89%,809.75,2 years,RENT,66996,Current,debt_consolidation,FL,18.18,0,21/03/1999 3:17,50,9,12106,32,21114.73,20187.5,8885.28,11302.22
1104999,5000,5000, 36 months,16.77%,177.7,< 1 year,RENT,22200,Current,credit_card,CA,7.03,0,16/04/2004 4:03,62,3,4913,8,1741.8,4479.01,3258.2,1220.81
1105214,15000,15000, 36 months,7.90%,469.36,10+ years,MORTGAGE,78000,Current,debt_consolidation,MI,4.91,0,24/01/1998 3:22,NA,5,23185,10,4970.68,11726.75,10029.32,1697.43
1105365,10000,10000, 36 months,8.90%,317.54,9 years,MORTGAGE,80000,Current,debt_consolidation,FL,10.84,0,27/05/1998 2:12,NA,11,30746,22,3355.31,7922.66,6644.69,1277.97
1105635,7000,7000, 36 months,7.90%,219.04,10+ years,RENT,85000,Fully Paid,debt_consolidation,CA,24.58,0,30/12/1996 9:26,NA,7,26078,18,0,7538.26,7000,538.26
1105806,18000,18000, 36 months,11.71%,595.37,10+ years,MORTGAGE,80000,Current,debt_consolidation,AL,17.01,0,13/08/1993 10:08,NA,9,18610,23,6729.67,14265.36,11270.34,2995.02
1106026,2000,2000, 36 months,15.96%,70.28,2 years,MORTGAGE,40000,Current,renewable_energy,MD,15.03,0,08/04/2007 10:34,NA,8,10553,16,721.15,1748,1278.85,469.15
1106347,10000,10000, 36 months,7.90%,312.91,4 years,RENT,40000,Current,debt_consolidation,FL,19.23,0,28/11/2003 8:30,NA,17,8820,26,2982.16,8147.2,7017.84,1129.36
1106684,14500,14500, 36 months,7.51%,451.11,7 years,MORTGAGE,150000,Fully Paid,small_business,CA,5.13,0,16/01/1994 2:54,NA,14,18638,41,0,15436.71,14500,936.71
1106874,20000,20000, 36 months,11.71%,661.52,2 years,RENT,45000,In Grace Period,debt_consolidation,CA,15.92,0,03/02/2002 6:38,NA,9,23736,12,7145.65,16120.06,12854.35,3265.71
1107068,28000,28000, 60 months,14.65%,660.99,9 years,RENT,76000,Current,small_business,MD,20.54,0,19/03/2005 7:10,NA,11,13594,19,18736.71,16521.75,9263.29,7258.46
1107240,8000,8000, 36 months,7.90%,250.33,7 years,MORTGAGE,58075,Fully Paid,debt_consolidation,NC,20.76,0,21/09/2004 10:27,NA,7,6100,15,0,8250,8000,250
1107506,9500,9500, 36 months,10.65%,309.45,1 year,RENT,42000,Current,debt_consolidation,MA,17.46,0,27/10/2003 9:08,NA,6,7672,18,3238,7725.45,6262.01,1463.44
1107794,3000,3000, 36 months,7.90%,93.88,6 years,RENT,24000,Fully Paid,debt_consolidation,CA,27.4,0,14/01/2006 11:03,NA,9,6116,16,0,3267.48,3000,267.48
1108091,10000,10000, 36 months,16.29%,353.01,10+ years,MORTGAGE,76500,Current,debt_consolidation,WA,19.29,0,05/05/2002 6:03,NA,11,20940,18,3588.5,8819.49,6411.5,2407.99
1108424,13800,13800, 60 months,16.77%,341.27,10+ years,RENT,42000,Late (31-120 days),credit_card,OH,20.47,0,17/09/2005 12:11,NA,6,8846,10,10414.67,7024.66,3385.33,3639.33
1108567,24925,24925, 36 months,12.69%,836.11,10+ years,MORTGAGE,60000,Fully Paid,credit_card,CA,22.94,1,19/10/1999 2:02,1,12,37548,30,0,26858.56,24925.01,1933.55
1108817,14000,14000, 36 months,9.91%,451.15,7 years,RENT,163000,Current,credit_card,IL,7.47,0,25/05/2004 1:16,NA,7,9492,36,4735.1,11266.75,9264.9,2001.85
1109059,11000,11000, 36 months,9.91%,354.48,3 years,RENT,40000,Fully Paid,credit_card,CA,13.57,0,30/07/2003 9:19,NA,16,9276,25,0,11807.58,11000,807.58
1109370,13600,13600, 36 months,6.03%,413.93,6 years,OWN,37000,Current,debt_consolidation,TX,21.53,0,23/10/1987 9:49,NA,12,17949,21,4420.76,10345.85,9179.24,1166.61
1109597,13200,13200, 36 months,8.90%,419.15,9 years,RENT,50000,Current,debt_consolidation,MI,18.89,0,24/08/2004 1:20,NA,8,6836,13,4419.03,10469.87,8780.97,1688.9
1109782,18000,18000, 60 months,17.58%,452.98,5 years,RENT,72000,Late (31-120 days),debt_consolidation,CT,17.72,0,19/11/1992 8:27,NA,12,29513,38,13396.14,9489.69,4603.87,4885.82
1110001,18000,18000, 36 months,7.90%,563.23,10+ years,MORTGAGE,36000,In Grace Period,debt_consolidation,KS,9.4,0,12/01/2001 9:11,NA,12,14561,26,6486.81,13507.2,11513.19,1994.01
1110211,35000,35000, 36 months,12.69%,1174.07,10+ years,MORTGAGE,125000,Current,debt_consolidation,KS,14.93,0,22/10/1993 8:12,NA,7,44559,28,12160,29314.71,22840,6474.71
1110455,12000,12000, 36 months,10.65%,390.88,10+ years,OWN,89000,Fully Paid,debt_consolidation,VA,5.38,0,24/01/1999 12:03,NA,7,11939,8,0,13721.6,12000,1721.6
1110785,10000,10000, 36 months,7.51%,311.11,10+ years,RENT,55000,Fully Paid,debt_consolidation,TX,25.83,0,28/07/1998 5:07,46,9,14195,21,0,10645.37,10000,645.37
