id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,loan_performance
1075164,25000,25000, 36 months,11.71,826.9,2 years,RENT,120000.0,Current,small_business,CA,13.06,0.0,2002-05-11 01:50:00,,8.0,21412.0,25.0,7850.49,21488.65,17149.51,4339.14,Good
1075789,9600,9600, 36 months,14.65,331.15,4 years,RENT,52000.0,Fully Paid,other,PA,24.48,0.0,1996-09-09 03:04:00,,19.0,11930.0,43.0,0.0,11407.13,9600.0,1807.13,Good
1076079,7000,7000, 36 months,16.29,247.11,10+ years,RENT,50000.0,Current,wedding,NY,11.57,0.0,2006-03-21 03:33:00,,8.0,17075.0,9.0,2301.16,6417.61,4698.83,1718.78,Good
1076316,19200,19200, 60 months,20.3,511.9,10+ years,MORTGAGE,150000.0,Charged Off,debt_consolidation,GA,6.18,0.0,2000-04-22 09:29:00,40.0,10.0,17541.0,19.0,0.0,5118.17,2013.42,3088.78,Bad
1076701,25500,25500, 60 months,13.49,586.62,10+ years,MORTGAGE,51000.0,Late (16-30 days),small_business,FL,8.92,0.0,2001-02-18 07:06:00,,18.0,6295.0,31.0,17391.62,14076.23,8108.38,5967.85,Bad
1077012,3000,3000, 36 months,6.62,92.12,6 years,MORTGAGE,40000.0,Fully Paid,major_purchase,NY,25.68,0.0,1996-06-12 04:35:00,29.0,8.0,16727.0,26.0,0.0,3106.91,3000.0,106.91,Good
1077307,12000,12000, 36 months,7.9,375.49,8 years,MORTGAGE,87060.0,Fully Paid,credit_card,TX,7.57,0.0,2002-09-09 08:38:00,,6.0,11062.0,13.0,0.0,12973.87,12000.0,973.87,Good
1077681,4950,4950, 36 months,11.71,163.73,3 years,RENT,28800.0,Fully Paid,debt_consolidation,MN,16.21,0.0,2006-03-23 11:06:00,,9.0,5828.0,10.0,0.0,5303.65,4950.0,353.65,Good
1078123,21675,21675, 60 months,18.64,557.98,2 years,MORTGAGE,116000.0,Current,credit_card,CA,13.25,1.0,1994-02-24 06:24:00,14.0,7.0,21681.0,16.0,14659.72,14491.48,7015.28,7476.2,Good
1078321,6000,6000, 36 months,13.49,203.59,7 years,OWN,225000.0,Fully Paid,credit_card,CA,4.22,0.0,2000-03-25 09:49:00,,12.0,13871.0,19.0,0.0,6998.76,6000.0,998.76,Good
1078753,18000,18000, 60 months,19.42,471.1,10+ years,MORTGAGE,46460.0,Charged Off,other,NC,12.91,0.0,1998-03-06 08:08:00,24.0,7.0,7804.0,30.0,0.0,8008.04,3479.21,4513.34,Bad
1079026,1600,1600, 36 months,15.96,56.22,5 years,RENT,72000.0,Current,debt_consolidation,CA,6.15,1.0,1999-12-27 09:48:00,23.0,7.0,3086.0,29.0,391.67,1551.83,1208.33,343.5,Good
1079344,10000,10000, 36 months,6.03,304.36,4 years,RENT,70000.0,Current,credit_card,CA,3.14,0.0,1999-10-30 10:24:00,,5.0,8851.0,9.0,3254.78,7602.5,6745.23,857.27,Good
1079681,20000,20000, 60 months,19.42,523.45,3 years,RENT,110000.0,Current,debt_consolidation,CA,11.34,0.0,1988-07-01 01:24:00,,17.0,24449.0,28.0,13058.15,13629.16,6941.85,6687.31,Good
1080086,12000,12000, 36 months,10.65,390.88,7 years,RENT,36982.0,Current,debt_consolidation,WA,18.66,0.0,2000-11-23 08:22:00,,8.0,14142.0,13.0,4099.87,9746.5,7900.12,1846.38,Good
1080438,21850,21850, 60 months,17.27,546.21,1 year,MORTGAGE,50000.0,Current,other,WI,24.83,0.0,1998-06-08 08:55:00,,14.0,14810.0,24.0,14941.49,13644.25,6908.52,6735.73,Good
1080703,5225,5225, 60 months,12.69,118.06,3 years,OWN,15744.0,Current,credit_card,OH,18.98,0.0,2007-04-11 11:21:00,,11.0,15706.0,12.0,3447.85,2936.0,1777.15,1158.85,Good
1081000,21000,21000, 60 months,18.25,536.13,4 years,RENT,51400.0,Current,debt_consolidation,FL,16.06,0.0,1995-03-26 01:24:00,28.0,8.0,20658.0,30.0,13791.58,13881.34,7208.42,6672.92,Good
1081415,12600,12600, 60 months,12.42,282.97,Not Specify,MORTGAGE,25200.0,Charged Off,major_purchase,AZ,0.71,0.0,1992-07-09 05:53:00,,7.0,83.0,15.0,0.0,3690.81,2107.87,1567.95,Bad
1081779,7050,7050, 36 months,7.9,220.6,1 year,RENT,83000.0,Fully Paid,debt_consolidation,CA,20.08,0.0,1997-08-24 10:01:00,,10.0,22388.0,19.0,0.0,7311.38,7050.0,261.38,Good
1082111,21000,21000, 36 months,12.69,704.45,6 years,MORTGAGE,76000.0,Fully Paid,debt_consolidation,SC,19.68,0.0,1998-05-10 11:21:00,,10.0,42111.0,24.0,0.0,24877.87,21000.0,3877.87,Good
1082566,16000,16000, 36 months,6.03,486.97,8 years,RENT,89000.0,Current,debt_consolidation,TX,17.53,0.0,1994-11-27 12:27:00,,10.0,15497.0,33.0,5202.56,12169.75,10797.44,1372.31,Good
1082914,3950,3950, 36 months,8.9,125.43,10+ years,MORTGAGE,52800.0,Fully Paid,car,CO,0.57,0.0,1995-04-27 08:00:00,,4.0,675.0,7.0,0.0,4362.74,3950.0,412.74,Good
1083417,10000,10000, 36 months,6.62,307.04,4 years,MORTGAGE,55000.0,Current,small_business,MI,4.3,0.0,2000-09-27 06:28:00,,8.0,8835.0,15.0,3568.58,7354.08,6431.42,922.66,Good
1083892,35000,35000, 60 months,12.69,790.82,6 years,MORTGAGE,68000.0,Charged Off,other,DE,8.58,0.0,1985-10-16 10:52:00,,16.0,7504.0,36.0,0.0,11859.91,6779.62,5080.29,Bad
1084247,2000,2000, 36 months,10.65,65.15,2 years,RENT,48000.0,Fully Paid,debt_consolidation,VA,17.29,0.0,2004-02-09 12:05:00,25.0,9.0,3369.0,18.0,0.0,2205.74,2000.0,205.74,Good
1085272,28000,28000, 36 months,7.9,876.13,3 years,MORTGAGE,180000.0,Late (31-120 days),home_improvement,CT,7.6,0.0,1995-05-08 07:05:00,81.0,13.0,202.0,23.0,13187.95,17772.32,14812.05,2960.27,Bad
1086441,7200,7200, 36 months,11.71,238.15,< 1 year,RENT,37000.0,Current,debt_consolidation,MA,12.82,0.0,1995-05-28 08:27:00,32.0,8.0,6788.0,32.0,2479.56,5944.75,4720.43,1224.32,Good
1086636,20000,20000, 60 months,17.27,499.96,10+ years,MORTGAGE,100000.0,Fully Paid,debt_consolidation,NJ,22.04,0.0,1997-09-14 08:31:00,,9.0,18958.0,33.0,0.0,23227.38,20000.0,3227.38,Good
1086976,11500,11500, 36 months,6.62,353.1,3 years,RENT,60500.0,Current,debt_consolidation,CA,16.88,0.0,1999-03-11 10:20:00,,11.0,21309.0,39.0,3776.46,8806.75,7723.55,1083.2,Good
1087612,3000,3000, 36 months,11.71,99.23,10+ years,MORTGAGE,30000.0,Fully Paid,debt_consolidation,CA,4.8,0.0,1996-03-23 05:46:00,30.0,9.0,3345.0,16.0,0.0,3398.13,3000.0,398.13,Good
1088041,11700,11700, 36 months,7.51,364.0,2 years,RENT,45000.0,Current,debt_consolidation,MI,0.0,0.0,2006-06-02 07:00:00,,7.0,0.0,9.0,3734.75,9215.67,7965.24,1250.43,Good
1088369,5500,5500, 36 months,7.51,171.11,2 years,RENT,39000.0,Current,debt_consolidation,OK,2.22,0.0,1986-09-15 05:25:00,,4.0,2082.0,23.0,1827.82,4261.0,3672.18,588.82,Good
1088731,12000,12000, 36 months,6.03,365.23,3 years,MORTGAGE,85000.0,Fully Paid,debt_consolidation,CA,3.98,0.0,1997-02-18 11:17:00,,8.0,18443.0,17.0,0.0,12525.09,12000.01,525.08,Good
1089158,9600,9600, 36 months,14.65,331.15,7 years,RENT,70000.0,Fully Paid,credit_card,CA,2.21,0.0,2001-01-28 10:17:00,,7.0,5879.0,8.0,0.0,10478.21,9600.0,878.21,Good
1089573,28000,28000, 60 months,18.25,714.83,2 years,MORTGAGE,95000.0,Current,other,FL,17.46,0.0,1987-06-01 10:33:00,,7.0,2791.0,15.0,19730.69,17098.84,8269.31,8829.53,Good
1089841,9000,9000, 36 months,6.03,273.92,6 years,RENT,37124.52,Current,credit_card,CA,15.91,0.0,2000-07-03 01:10:00,,10.0,1552.0,26.0,2927.32,6844.5,6072.68,771.82,Good
1090260,7500,7500, 36 months,18.25,272.09,7 years,OWN,70000.0,Current,home_improvement,MA,10.41,0.0,1997-11-16 05:54:00,,9.0,22616.0,21.0,2741.74,6795.05,4758.26,2036.79,Good
1090787,4500,4500, 36 months,16.29,158.86,6 years,RENT,55000.0,Charged Off,debt_consolidation,CA,15.19,0.0,2000-12-01 01:01:00,28.0,4.0,5152.0,25.0,0.0,3016.44,2101.76,914.68,Bad
1091024,6500,6500, 36 months,6.03,197.84,7 years,MORTGAGE,71500.0,Current,debt_consolidation,MI,10.43,0.0,1992-01-18 09:53:00,,11.0,22410.0,26.0,2114.58,4942.75,4385.42,557.33,Good
1091433,5825,5825, 36 months,7.51,181.23,8 years,RENT,81000.0,Fully Paid,debt_consolidation,NJ,29.52,0.0,1998-11-13 04:53:00,,15.0,6125.0,31.0,0.0,6391.41,5825.0,566.41,Good
1091767,3300,3300, 36 months,6.62,101.33,7 years,OWN,47500.0,Current,debt_consolidation,LA,12.86,0.0,2000-02-06 06:34:00,,6.0,3273.0,15.0,1090.8,2519.0,2209.2,309.8,Good
1092052,1000,1000, 36 months,12.42,33.42,4 years,RENT,50000.0,Current,debt_consolidation,WA,12.77,0.0,1983-05-05 09:19:00,50.0,17.0,5575.0,29.0,348.14,832.25,651.86,180.39,Good
1092569,10000,10000, 36 months,14.65,344.95,1 year,RENT,55000.0,Current,credit_card,NC,16.76,0.0,2003-05-16 08:23:00,,14.0,10988.0,26.0,4132.48,7921.2,5867.52,2053.68,Good
1092866,12000,12000, 36 months,6.03,365.23,6 years,RENT,85000.0,Fully Paid,credit_card,NJ,6.39,0.0,2003-05-22 10:03:00,,8.0,18993.0,21.0,0.0,12338.85,12000.0,338.85,Good
1093164,16000,16000, 36 months,6.03,486.97,10+ years,RENT,155000.0,Current,credit_card,NJ,6.07,0.0,2000-06-05 01:41:00,,8.0,26635.0,27.0,5202.34,12170.0,10797.66,1372.34,Good
1093565,9800,9800, 36 months,14.27,336.23,10+ years,RENT,75000.0,Fully Paid,debt_consolidation,FL,5.73,0.0,1999-05-12 04:29:00,,4.0,1947.0,13.0,0.0,9962.7,9800.0,162.7,Good
1094053,12000,12000, 36 months,14.65,413.94,< 1 year,RENT,33324.0,Current,debt_consolidation,CA,14.93,0.0,2005-07-10 05:56:00,,6.0,16599.0,9.0,4242.33,10340.5,7757.66,2582.84,Good
1095777,10000,10000, 36 months,9.91,322.25,10+ years,MORTGAGE,124000.0,Current,debt_consolidation,TX,24.16,0.0,1985-03-27 09:45:00,51.0,17.0,40181.0,33.0,3386.92,8042.0,6613.09,1428.91,Good
1096010,10000,10000, 36 months,14.27,343.09,5 years,RENT,90000.0,Current,credit_card,AZ,23.76,0.0,1998-05-22 08:33:00,57.0,18.0,11359.0,40.0,3531.22,8559.75,6468.77,2090.98,Good
1096232,6000,6000, 36 months,11.71,198.46,2 years,OWN,25200.0,Current,medical,LA,16.29,1.0,2002-04-27 04:14:00,8.0,18.0,14452.0,30.0,2070.24,4949.0,3929.77,1019.23,Good
1096475,1600,1600, 36 months,7.9,50.07,4 years,RENT,20832.0,Fully Paid,debt_consolidation,AZ,23.16,0.0,2005-10-08 11:19:00,,3.0,1464.0,5.0,0.0,1697.14,1600.0,97.14,Good
1096918,19000,19000, 36 months,14.27,651.87,10+ years,RENT,70000.0,Fully Paid,debt_consolidation,MI,16.53,0.0,1995-11-05 11:05:00,,7.0,20614.0,32.0,0.0,20659.45,19000.0,1659.45,Good
1097244,5300,5300, 36 months,13.49,179.84,1 year,RENT,45600.0,Current,debt_consolidation,CA,3.76,0.0,2004-07-12 09:51:00,46.0,5.0,4747.0,10.0,1883.08,4477.4,3416.92,1045.51,Good
1097439,20800,20800, 60 months,12.69,469.97,7 years,MORTGAGE,70000.0,Current,debt_consolidation,WV,14.49,1.0,1991-01-26 12:39:00,16.0,18.0,13042.0,51.0,13703.05,11725.0,7096.95,4628.05,Good
1097604,20000,20000, 36 months,16.29,706.01,6 years,MORTGAGE,92000.0,Current,debt_consolidation,NC,8.8,0.0,1998-02-21 02:51:00,,10.0,19212.0,11.0,7181.69,17632.75,12818.31,4814.44,Good
1097754,8500,8500, 36 months,6.03,258.71,10+ years,MORTGAGE,45000.0,Fully Paid,credit_card,MI,20.22,0.0,1987-06-16 07:38:00,,8.0,2984.0,31.0,0.0,9198.59,8500.0,698.59,Good
1097891,2800,2800, 36 months,7.9,87.62,10+ years,RENT,54000.0,Fully Paid,debt_consolidation,FL,13.6,0.0,2001-06-02 07:09:00,,4.0,3406.0,11.0,0.0,2963.43,2800.0,163.43,Good
1098119,12000,12000, 36 months,6.62,368.45,1 year,RENT,48000.0,Current,debt_consolidation,OR,16.88,0.0,1994-12-07 08:12:00,,9.0,13903.0,21.0,3932.68,9198.75,8067.32,1131.43,Good
1098366,21000,21000, 60 months,12.69,474.49,6 years,MORTGAGE,70000.0,Late (31-120 days),debt_consolidation,SC,20.85,0.0,2003-09-21 11:37:00,,15.0,8865.0,34.0,15121.56,9962.87,5878.44,4084.43,Bad
1098578,18000,18000, 60 months,18.64,463.38,2 years,RENT,70000.0,Fully Paid,debt_consolidation,NY,4.56,1.0,2003-06-23 11:36:00,18.0,11.0,8640.0,22.0,0.0,24005.6,18000.0,6005.6,Good
1098778,16000,16000, 36 months,7.9,500.65,10+ years,MORTGAGE,72000.0,Current,credit_card,RI,12.83,0.0,1991-12-23 03:29:00,,8.0,29952.0,36.0,5304.66,12505.5,10695.35,1810.15,Good
1098911,6625,6625, 36 months,11.71,219.13,< 1 year,RENT,25000.0,Charged Off,debt_consolidation,NC,21.74,0.0,1995-10-05 08:45:00,29.0,9.0,7626.0,22.0,0.0,3725.23,2639.1,842.74,Bad
1099137,11000,11000, 36 months,18.25,399.06,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,FL,6.3,0.0,1993-09-14 02:36:00,,9.0,12197.0,11.0,0.0,13985.88,11000.0,2985.88,Good
1099254,19550,19550, 60 months,19.91,516.98,Not Specify,MORTGAGE,50000.0,Fully Paid,credit_card,TX,8.86,0.0,1998-02-20 09:18:00,,8.0,19680.0,23.0,0.0,21752.19,19550.0,2202.19,Good
1099469,8325,8325, 36 months,14.65,287.17,5 years,RENT,20000.0,Charged Off,credit_card,NY,14.94,0.0,1999-09-13 11:51:00,48.0,4.0,9022.0,8.0,0.0,2408.78,1345.89,662.2,Bad
1099657,16000,16000, 60 months,19.91,423.11,10+ years,MORTGAGE,88000.0,Late (31-120 days),debt_consolidation,IL,23.09,0.0,2000-03-13 08:26:00,,15.0,21273.0,34.0,11634.6,9718.65,4365.4,5353.25,Bad
1099970,16000,16000, 60 months,13.99,372.21,5 years,RENT,110000.0,Fully Paid,major_purchase,NJ,11.86,0.0,2000-11-14 01:42:00,,14.0,31935.0,29.0,0.0,16909.34,16000.0,909.34,Good
1100283,7000,7000, 36 months,11.71,231.54,10+ years,RENT,110000.0,Current,credit_card,NY,14.54,0.0,1998-07-21 10:01:00,61.0,8.0,28143.0,22.0,2415.31,5773.75,4584.69,1189.06,Good
1100523,12000,12000, 36 months,6.62,368.45,10+ years,MORTGAGE,75000.0,Current,debt_consolidation,TX,10.2,0.0,1999-10-14 01:18:00,,9.0,14506.0,42.0,3929.61,9202.25,8070.39,1131.86,Good
1100805,2500,2500, 60 months,14.27,58.53,< 1 year,RENT,34320.0,Fully Paid,debt_consolidation,WI,16.68,0.0,2001-04-09 03:01:00,,8.0,2069.0,19.0,0.0,2900.27,2500.0,400.27,Good
1101012,20000,20000, 36 months,14.27,686.18,5 years,RENT,65000.0,Fully Paid,house,NY,12.2,0.0,2006-08-08 03:48:00,,10.0,14604.0,18.0,0.0,23658.4,20000.0,3658.4,Good
1101171,25000,25000, 36 months,13.49,848.27,10+ years,RENT,80397.0,Fully Paid,debt_consolidation,VA,16.16,0.0,1998-08-20 04:13:00,,7.0,32284.0,23.0,0.0,27705.96,25000.0,2705.96,Good
1101327,12000,12000, 36 months,11.71,396.92,5 years,RENT,35000.0,Current,debt_consolidation,MO,16.8,0.0,2004-06-19 05:46:00,,5.0,10641.0,12.0,4132.71,9907.75,7867.28,2040.47,Good
1101580,13000,13000, 36 months,11.71,429.99,4 years,MORTGAGE,52200.0,Fully Paid,debt_consolidation,VA,23.67,0.0,2006-08-08 07:54:00,,16.0,17614.0,22.0,0.0,14493.54,13000.0,1493.54,Good
1102054,17000,17000, 36 months,9.91,547.83,10+ years,MORTGAGE,81000.0,Fully Paid,debt_consolidation,NJ,17.2,0.0,2000-02-12 08:39:00,,13.0,22555.0,26.0,0.0,18661.76,17000.0,1661.76,Good
1102326,11900,11900, 36 months,8.9,377.87,Not Specify,MORTGAGE,33228.0,Current,debt_consolidation,TX,25.35,0.0,1991-04-30 01:34:00,,3.0,265.0,35.0,3981.54,9441.5,7918.46,1523.04,Good
1102636,5000,5000, 36 months,14.65,172.48,< 1 year,RENT,150000.0,Charged Off,debt_consolidation,NY,1.63,1.0,2005-05-16 12:37:00,18.0,9.0,3847.0,18.0,0.0,1895.08,1301.95,593.13,Bad
1102894,10000,10000, 60 months,12.42,224.58,4 years,RENT,54000.0,Fully Paid,major_purchase,CA,23.16,0.0,1998-02-24 01:58:00,,5.0,0.0,8.0,0.0,11964.59,10000.0,1964.59,Good
1103120,6575,6575, 36 months,11.71,217.48,1 year,RENT,90000.0,Current,credit_card,CA,7.13,0.0,2003-09-24 10:09:00,,6.0,10254.0,18.0,2270.43,5421.0,4304.57,1116.43,Good
1103908,12000,12000, 36 months,6.62,368.45,< 1 year,MORTGAGE,84000.0,Fully Paid,major_purchase,GA,22.66,0.0,1993-07-19 07:28:00,,8.0,5355.0,25.0,0.0,12639.05,12000.0,639.05,Good
1104084,16000,16000, 36 months,6.03,486.97,Not Specify,OWN,60000.0,Current,debt_consolidation,TX,20.55,0.0,1972-07-09 05:45:00,,14.0,16048.0,31.0,5199.45,12173.25,10800.55,1372.7,Good
1104352,12000,12000, 36 months,13.49,407.17,2 years,RENT,82000.0,Fully Paid,debt_consolidation,MA,19.54,0.0,2000-06-12 07:06:00,41.0,16.0,14905.0,33.0,0.0,13857.68,12000.0,1857.68,Good
1104690,30000,30000, 60 months,20.89,809.75,2 years,RENT,66996.0,Current,debt_consolidation,FL,18.18,0.0,1999-03-21 03:17:00,50.0,9.0,12106.0,32.0,21114.73,20187.5,8885.28,11302.22,Good
1104999,5000,5000, 36 months,16.77,177.7,< 1 year,RENT,22200.0,Current,credit_card,CA,7.03,0.0,2004-04-16 04:03:00,62.0,3.0,4913.0,8.0,1741.8,4479.01,3258.2,1220.81,Good
1105214,15000,15000, 36 months,7.9,469.36,10+ years,MORTGAGE,78000.0,Current,debt_consolidation,MI,4.91,0.0,1998-01-24 03:22:00,,5.0,23185.0,10.0,4970.68,11726.75,10029.32,1697.43,Good
1105365,10000,10000, 36 months,8.9,317.54,9 years,MORTGAGE,80000.0,Current,debt_consolidation,FL,10.84,0.0,1998-05-27 02:12:00,,11.0,30746.0,22.0,3355.31,7922.66,6644.69,1277.97,Good
1105635,7000,7000, 36 months,7.9,219.04,10+ years,RENT,85000.0,Fully Paid,debt_consolidation,CA,24.58,0.0,1996-12-30 09:26:00,,7.0,26078.0,18.0,0.0,7538.26,7000.0,538.26,Good
1105806,18000,18000, 36 months,11.71,595.37,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,AL,17.01,0.0,1993-08-13 10:08:00,,9.0,18610.0,23.0,6729.67,14265.36,11270.34,2995.02,Good
1106026,2000,2000, 36 months,15.96,70.28,2 years,MORTGAGE,40000.0,Current,renewable_energy,MD,15.03,0.0,2007-04-08 10:34:00,,8.0,10553.0,16.0,721.15,1748.0,1278.85,469.15,Good
